iter	Passed	Remaining
872	2906	422
873	2909	419
874	2912	416
875	2915	412
876	2918	409
877	2921	405
878	2924	402
879	2927	399
880	2930	395
881	2934	392
882	2937	389
883	2941	385
884	2943	382
885	2946	379
886	2949	375
887	2952	372
888	2955	369
889	2958	365
890	2961	362
891	2964	358
892	2968	355
893	2971	352
894	2974	348
895	2977	345
896	2980	342
897	2983	338
898	2987	335
899	2990	332
900	2992	328
901	2995	325
902	2998	322
903	3002	318
904	3005	315
905	3008	312
906	3011	308
907	3014	305
908	3016	302
909	3019	298
910	3022	295
911	3025	291
912	3029	288
913	3032	285
914	3035	281
915	3038	278
916	3041	275
917	3044	271
918	3047	268
919	3050	265
920	3053	261
921	3056	258
922	3059	255
923	3062	251
924	3065	248
925	3068	245
926	3071	241
927	3074	238
928	3077	235
929	3082	232
930	3085	228
931	3088	225
932	3092	222
933	3094	218
934	3098	215
935	3101	212
936	3104	208
937	3107	205
938	3110	202
939	3113	198
940	3116	195
941	3119	192
942	3122	188
943	3124	185
944	3127	182
945	3130	178
946	3133	175
947	3136	172
948	3139	168
949	3142	165
950	3145	162
951	3149	158
952	3152	155
953	3155	152
954	3159	148
955	3162	145
956	3164	142
957	3167	138
958	3170	135
959	3173	132
960	3176	128
961	3179	125
962	3182	122
963	3186	118
964	3189	115
965	3192	112
966	3195	109
967	3198	105
968	3201	102
969	3204	99
970	3207	95
971	3210	92
972	3214	89
973	3217	85
974	3219	82
975	3222	79
976	3225	75
977	3228	72
978	3231	69
979	3235	66
980	3238	62
981	3241	59
982	3244	56
983	3248	52
984	3251	49
985	3254	46
986	3256	42
987	3260	39
988	3263	36
989	3266	32
990	3269	29
991	3272	26
992	3275	23
993	3278	19
994	3281	16
995	3284	13
996	3288	9
997	3291	6
998	3294	3
999	3297	0
